ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
403870,HPSP,KOSDAQ,annual,1,exact,6.1,8,4,0,4,2
403870,HPSP,KOSDAQ,annual,2,exact,0.0,8,4,0,4,2
403870,HPSP,KOSDAQ,annual,3,exact,0.0,8,4,0,4,2
440110,파두,KOSDAQ,annual,1,exact,16.7,10,5,0,5,7
440110,파두,KOSDAQ,annual,2,exact,0.0,10,5,0,5,7
440110,파두,KOSDAQ,annual,3,exact,0.0,10,5,0,5,7
032820,우리기술,KOSDAQ,annual,1,exact,16.5,3,1,0,2,0
032820,우리기술,KOSDAQ,annual,2,exact,0.0,3,1,0,2,0
032820,우리기술,KOSDAQ,annual,3,exact,0.0,3,1,0,2,0
263750,펄어비스,KOSDAQ,annual,1,exact,17.4,8,1,0,7,4
