corp_code,corp_name,stock_code,rcept_no,rcept_dt,report_nm,is_correction,is_extraordinary
01046708,바디텍메드,206640,20250306000498,20250306,주주총회소집공고,False,False
01046708,바디텍메드,206640,20240306000158,20240306,주주총회소집공고,False,False
00688358,하이즈항공,221840,20260311003679,20260311,주주총회소집공고,False,False
00688358,하이즈항공,221840,20250307000571,20250307,주주총회소집공고,False,False
00688358,하이즈항공,221840,20240305000468,20240305,주주총회소집공고,False,False
00599151,SV인베스트먼트,289080,20250612000419,20250612,주주총회소집공고,False,False
00599151,SV인베스트먼트,289080,20250314001358,20250314,[기재정정]주주총회소집공고,True,False
00599151,SV인베스트먼트,289080,20250313000057,20250313,주주총회소집공고,False,False
00599151,SV인베스트먼트,289080,20240612000362,20240612,주주총회소집공고,False,False
01532603,화승알앤에이,378850,20260316001462,20260316,주주총회소집공고,False,False
01532603,화승알앤에이,378850,20250314001241,20250314,[기재정정]주주총회소집공고,True,False
01532603,화승알앤에이,378850,20250314001018,20250314,주주총회소집공고,False,False
01532603,화승알앤에이,378850,20240313000888,20240313,주주총회소집공고,False,False
01415892,제이알글로벌리츠,348950,20260316000949,20260316,주주총회소집공고,False,False
01415892,제이알글로벌리츠,348950,20250915000198,20250915,주주총회소집공고,False,False
01415892,제이알글로벌리츠,348950,20250314000375,20250314,주주총회소집공고,False,False
01415892,제이알글로벌리츠,348950,20240911000336,20240911,주주총회소집공고,False,False
01415892,제이알글로벌리츠,348950,20240313000379,20240313,주주총회소집공고,False,False
00111458,대영포장,014160,20260312000645,20260312,주주총회소집공고,False,False
00111458,대영포장,014160,20250313000890,20250313,주주총회소집공고,False,False
00111458,대영포장,014160,20240314001191,20240314,주주총회소집공고,False,False
00218575,황금에스티,032560,20260316000480,20260316,[기재정정]주주총회소집공고,True,False
00218575,황금에스티,032560,20260316000119,20260316,주주총회소집공고,False,False
