isu_cd,effective_date,factor,event_type,source,evidence,price_check,confidence,note
234300,20211227,1.09831060146888,mixed,disclosure,20211231000351,pass,confirmed,"신주 2,322,702 = 공시 mixed | 주식수반영일 20220114"
234340,20250724,1.47790711943298,bonus,disclosure,20250710000053,warn,confirmed,"신주 4,517,656 = 공시 bonus | 주식수반영일 20250819"
235980,20200513,2,bonus,disclosure,20200429001136,warn,confirmed,"신주 10,157,421 = 공시 bonus | 주식수반영일 20200602"
236810,20220530,2,bonus,disclosure,20220516001489,warn,confirmed,"신주 8,487,713 = 공시 bonus | 주식수반영일 20220621"
238090,20190423,2.53698418952352,split,v1+ledger,20190422900710,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
238090,20210715,0.4,merge,v1+ledger,20210714900393,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
238120,20200720,2,bonus,disclosure,20200706000087,warn,confirmed,"신주 3,594,724 = 공시 bonus | 주식수반영일 20200810"
238120,20231107,2,bonus,disclosure,20231023000071,warn,confirmed,"신주 7,189,448 = 공시 bonus | 주식수반영일 20231124"
238200,20210401,2,bonus,disclosure,20210316000070,warn,confirmed,"신주 4,090,000 = 공시 bonus | 주식수반영일 20210423"
238490,20200624,2,bonus,disclosure,20200610000053,warn,confirmed,"신주 5,656,118 = 공시 bonus | 주식수반영일 20200714"
239890,20211230,2,bonus,disclosure,20211215000323,warn,confirmed,"신주 4,566,966 = 공시 bonus | 주식수반영일 20220120"
241520,20210226,1.49296738213616,bonus,disclosure,20210215000304,warn,confirmed,"신주 9,139,038 = 공시 bonus | 주식수반영일 20210319"
241590,20180608,2,bonus,disclosure,20180525000300,warn,confirmed,"신주 30,268,335 = 공시 bonus | 주식수반영일 20180702"
241690,20170317,2,bonus,disclosure,20170303000129,warn,confirmed,"신주 5,963,760 = 공시 bonus | 주식수반영일 20170407"
241690,20210125,1.9790861805304,bonus,disclosure,20210122000388,warn,confirmed,"신주 11,678,070 = 공시 bonus | 주식수반영일 20210210"
241710,20180425,2,bonus,disclosure,20180411000927,warn,confirmed,"신주 5,340,000 = 공시 bonus | 주식수반영일 20180518"
241820,20230914,3,mixed,disclosure,20230831000458,warn,confirmed,"신주 34,352,472 = 공시 mixed | 주식수반영일 20231011"
241820,20251017,0.0470171627047652,reduction,v1+ledger,20250711000487,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
