market,rank,ticker,company,market_cap
KOSPI,475,035510,신세계I&C,"2,297"
KOSPI,476,009680,모토닉,"2,286"
KOSPI,477,102460,이연제약,"2,286"
KOSPI,478,000480,시알홀딩스,"2,281"
KOSPI,479,210980,SK디앤디,"2,273"
KOSPI,480,025000,KPX케미칼,"2,264"
KOSPI,481,003650,미창석유공업,"2,262"
KOSPI,482,298690,에어부산,"2,252"
KOSPI,483,487570,HS효성,"2,213"
KOSPI,484,008350,남선알미늄,"2,207"
KOSPI,485,117580,대성에너지,"2,200"
KOSPI,486,007860,서연,"2,193"
KOSPI,487,003350,한국화장품제조,"2,182"
KOSPI,488,095570,AJ네트웍스,"2,172"
KOSPI,489,084680,이월드,"2,167"
KOSPI,490,028100,동아지질,"2,166"
KOSPI,491,001130,대한제분,"2,160"
KOSPI,492,001080,만호제강,"2,150"
KOSPI,493,003220,대원제약,"2,135"
KOSPI,494,053210,케이티스카이라이프,"2,131"
KOSPI,495,102260,동성케미컬,"2,115"
KOSPI,496,000390,SP삼화,"2,108"
KOSPI,497,339770,교촌에프앤비,"2,091"
KOSPI,498,016580,환인제약,"2,074"
KOSPI,499,039570,HDC랩스,"2,069"
KOSPI,500,013580,계룡건설산업,"2,054"
